Component,Sub-component,Variable,Measure,Country,ISO Code,Year,Value
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,United Republic of Tanzania,TZA,2029,0.328883352
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Samoa,WSM,2029,0.332757136
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Zambia,ZMB,2029,0.359136076
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Antigua and Barbuda,ATG,2030,0.399163571
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Australia,AUS,2030,0.156589188
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Bahamas,BHS,2030,0.393167389
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Bangladesh,BGD,2030,0.15576247
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Barbados,BRB,2030,0.393476765
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Botswana,BWA,2030,0.293327232
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Belize,BLZ,2030,0.568313679
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Solomon Islands,SLB,2030,0.211414229
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Brunei Darussalam,BRN,2030,0.156569128
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Cameroon,CMR,2030,0.149106328
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Canada,CAN,2030,0.118740299
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Sri Lanka,LKA,2030,0.155286203
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Cyprus,CYP,2030,0.164214335
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Dominica,DMA,2030,0.558983798
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Fiji,FJI,2030,0.330742652
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Gabon,GAB,2030,0.308576571
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Gambia,GMB,2030,0.069060831
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Ghana,GHA,2030,0.137545951
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Kiribati,KIR,2030,0.2066809
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Grenada,GRD,2030,0.555877398
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Guyana,GUY,2030,0.555872136
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,India,IND,2030,0.156200036
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Jamaica,JAM,2030,0.560569206
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Kenya,KEN,2030,0.141774113
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Lesotho,LSO,2030,0.138405342
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Malawi,MWI,2030,0.077866427
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Malaysia,MYS,2030,0.323398359
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Maldives,MDV,2030,0.308717085
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Malta,MLT,2030,0.212685294
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Mauritius,MUS,2030,0.286675399
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Mozambique,MOZ,2030,0.078326928
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Namibia,NAM,2030,0.292817698
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Nauru,NRU,2030,0.347800207
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Vanuatu,VUT,2030,0.203920793
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,New Zealand,NZL,2030,0.157248545
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Nigeria,NGA,2030,0.136777449
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Pakistan,PAK,2030,0.155951793
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Papua New Guinea,PNG,2030,0.207756351
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Rwanda,RWA,2030,0.078375737
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Saint Kitts and Nevis,KNA,2030,0.387887614
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Saint Lucia,LCA,2030,0.561355822
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Saint Vincent and the Grenadines,VCT,2030,0.558361796
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Seychelles,SYC,2030,0.151866187
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Sierra Leone,SLE,2030,0.070942533
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Singapore,SGP,2030,0.154308879
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,South Africa,ZAF,2030,0.294356488
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Eswatini,SWZ,2030,0.139073215
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Togo,TGO,2030,0.069488488
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Tonga,TON,2030,0.332109298
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Trinidad and Tobago,TTO,2030,0.395507419
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Tuvalu,TUV,2030,0.312213906
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Uganda,UGA,2030,0.078204136
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,United Kingdom,GBR,2030,0.215437425
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,United Republic of Tanzania,TZA,2030,0.078057009
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Samoa,WSM,2030,0.324134298
Service Delivery,Cancer Treatment,dx 10 stage 2,Mean,Zambia,ZMB,2030,0.14261551
Service Delivery,Cancer Treatment,dx 0 stage 3,Mean,Antigua and Barbuda,ATG,2020,0.346286077
Service Delivery,Cancer Treatment,dx 0 stage 3,Mean,Australia,AUS,2020,0.338432413
Service Delivery,Cancer Treatment,dx 0 stage 3,Mean,Bahamas,BHS,2020,0.336745586
Service Delivery,Cancer Treatment,dx 0 stage 3,Mean,Bangladesh,BGD,2020,0.207320613
Service Delivery,Cancer Treatment,dx 0 stage 3,Mean,Barbados,BRB,2020,0.33621757
Service Delivery,Cancer Treatment,dx 0 stage 3,Mean,Botswana,BWA,2020,0.318871968
Service Delivery,Cancer Treatment,dx 0 stage 3,Mean,Belize,BLZ,2020,0.380786277
Service Delivery,Cancer Treatment,dx 0 stage 3,Mean,Solomon Islands,SLB,2020,0.265622936
Service Delivery,Cancer Treatment,dx 0 stage 3,Mean,Brunei Darussalam,BRN,2020,0.509743266
Service Delivery,Cancer Treatment,dx 0 stage 3,Mean,Cameroon,CMR,2020,0.199050699
Service Delivery,Cancer Treatment,dx 0 stage 3,Mean,Canada,CAN,2020,0.385914748
Service Delivery,Cancer Treatment,dx 0 stage 3,Mean,Sri Lanka,LKA,2020,0.23582186
Service Delivery,Cancer Treatment,dx 0 stage 3,Mean,Cyprus,CYP,2020,0.251791178
Service Delivery,Cancer Treatment,dx 0 stage 3,Mean,Dominica,DMA,2020,0.399498599
Service Delivery,Cancer Treatment,dx 0 stage 3,Mean,Fiji,FJI,2020,0.383475655
Service Delivery,Cancer Treatment,dx 0 stage 3,Mean,Gabon,GAB,2020,0.323670548
Service Delivery,Cancer Treatment,dx 0 stage 3,Mean,Gambia,GMB,2020,0.258240497
Service Delivery,Cancer Treatment,dx 0 stage 3,Mean,Ghana,GHA,2020,0.192906141
Service Delivery,Cancer Treatment,dx 0 stage 3,Mean,Kiribati,KIR,2020,0.207125427
Service Delivery,Cancer Treatment,dx 0 stage 3,Mean,Grenada,GRD,2020,0.390672144
Service Delivery,Cancer Treatment,dx 0 stage 3,Mean,Guyana,GUY,2020,0.382203685
Service Delivery,Cancer Treatment,dx 0 stage 3,Mean,India,IND,2020,0.20990413
Service Delivery,Cancer Treatment,dx 0 stage 3,Mean,Jamaica,JAM,2020,0.384606757
Service Delivery,Cancer Treatment,dx 0 stage 3,Mean,Kenya,KEN,2020,0.203872472
Service Delivery,Cancer Treatment,dx 0 stage 3,Mean,Lesotho,LSO,2020,0.193438055
Service Delivery,Cancer Treatment,dx 0 stage 3,Mean,Malawi,MWI,2020,0.258487246
Service Delivery,Cancer Treatment,dx 0 stage 3,Mean,Malaysia,MYS,2020,0.514838298
